,song,artist,date,explicit,uri,popularity,ironhacker,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
22,Lange her,CRO,2015-07-03,False,spotify:track:40UtAXchn1GhZYN5dpWQu7,48,11142035356,0.577,0.539,10,-9.865,0,0.0706,0.307,0.0,0.682,0.523,79.991,audio_features,40UtAXchn1GhZYN5dpWQu7,https://api.spotify.com/v1/tracks/40UtAXchn1GhZYN5dpWQu7,https://api.spotify.com/v1/audio-analysis/40UtAXchn1GhZYN5dpWQu7,338756,4
23,Getaway - Koven Remix,Tritonal,2016-07-08,False,spotify:track:10EpXLXKHmNSVKvX7A5hg8,65,11142035356,0.488,0.914,6,-2.875,0,0.223,0.00415,0.0,0.158,0.222,172.187,audio_features,10EpXLXKHmNSVKvX7A5hg8,https://api.spotify.com/v1/tracks/10EpXLXKHmNSVKvX7A5hg8,https://api.spotify.com/v1/audio-analysis/10EpXLXKHmNSVKvX7A5hg8,203721,4
24,THE GUILTY PARTY,While She Sleeps,2019-03-01,False,spotify:track:3TBZsSXbRhHQZeZPGjboiS,51,11142035356,0.525,0.943,0,-5.652,0,0.0631,0.0029,7.37e-05,0.0698,0.184,108.972,audio_features,3TBZsSXbRhHQZeZPGjboiS,https://api.spotify.com/v1/tracks/3TBZsSXbRhHQZeZPGjboiS,https://api.spotify.com/v1/audio-analysis/3TBZsSXbRhHQZeZPGjboiS,266500,4
25,Panic Room - Culture Shock Remix,Au/Ra,2018-09-19,False,spotify:track:7yahqANoaeBiBRlMZQacCN,56,11142035356,0.443,0.97,5,-1.591,0,0.0469,0.0116,0.016,0.121,0.161,173.85,audio_features,7yahqANoaeBiBRlMZQacCN,https://api.spotify.com/v1/tracks/7yahqANoaeBiBRlMZQacCN,https://api.spotify.com/v1/audio-analysis/7yahqANoaeBiBRlMZQacCN,286726,4
26,It's Alright,The Big Push,2019-03-29,False,spotify:track:5PBcNzOndRqvRHcV7kUxl7,48,11142035356,0.869,0.349,4,-7.421,1,0.083,0.624,0.0,0.128,0.725,114.105,audio_features,5PBcNzOndRqvRHcV7kUxl7,https://api.spotify.com/v1/tracks/5PBcNzOndRqvRHcV7kUxl7,https://api.spotify.com/v1/audio-analysis/5PBcNzOndRqvRHcV7kUxl7,205658,4
27,Civil Isolation,While She Sleeps,2017-04-21,False,spotify:track:4G0xVyaKj7scq78enhzXwC,36,11142035356,0.314,0.992,10,-3.916,0,0.18,0.00017,7.21e-06,0.0757,0.318,154.727,audio_features,4G0xVyaKj7scq78enhzXwC,https://api.spotify.com/v1/tracks/4G0xVyaKj7scq78enhzXwC,https://api.spotify.com/v1/audio-analysis/4G0xVyaKj7scq78enhzXwC,262695,4
28,The Rock Show,blink-182,2001,True,spotify:track:2ydUT1pFhuLDnouelIv4WH,72,11142035356,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,audio_features,2ydUT1pFhuLDnouelIv4WH,https://api.spotify.com/v1/tracks/2ydUT1pFhuLDnouelIv4WH,https://api.spotify.com/v1/audio-analysis/2ydUT1pFhuLDnouelIv4WH,171600,4
29,Marigold,Periphery,2016-07-22,True,spotify:track:2YZZ8qsDdvC008LgtpMoI6,51,11142035356,0.211,0.949,0,-5.724,0,0.214,0.00222,0.000535,0.103,0.0642,105.578,audio_features,2YZZ8qsDdvC008LgtpMoI6,https://api.spotify.com/v1/tracks/2YZZ8qsDdvC008LgtpMoI6,https://api.spotify.com/v1/audio-analysis/2YZZ8qsDdvC008LgtpMoI6,439840,4
30,I Get Up,The Teskey Brothers,2018-10-26,False,spotify:track:2ySCTopr9tZ5qdz6MkrdjH,49,11142035356,0.735,0.559,11,-5.281,1,0.0347,0.659,0.0,0.133,0.659,115.645,audio_features,2ySCTopr9tZ5qdz6MkrdjH,https://api.spotify.com/v1/tracks/2ySCTopr9tZ5qdz6MkrdjH,https://api.spotify.com/v1/audio-analysis/2ySCTopr9tZ5qdz6MkrdjH,263813,3
31,Cut You Off,Smash Into Pieces,2021-07-02,False,spotify:track:2zFDvvxpjhOeueR1iapU9w,41,11142035356,0.542,0.71,1,-6.448,0,0.0355,0.01,0.00031,0.36,0.16,128.026,audio_features,2zFDvvxpjhOeueR1iapU9w,https://api.spotify.com/v1/tracks/2zFDvvxpjhOeueR1iapU9w,https://api.spotify.com/v1/audio-analysis/2zFDvvxpjhOeueR1iapU9w,166875,4
32,Wrecked,Imagine Dragons,2021-07-02,False,spotify:track:2d1MywHy6FwKdzxFuSJnwl,79,11142035356,0.626,0.56,0,-5.82,0,0.0288,0.148,1.51e-05,0.109,0.229,93.989,audio_features,2d1MywHy6FwKdzxFuSJnwl,https://api.spotify.com/v1/tracks/2d1MywHy6FwKdzxFuSJnwl,https://api.spotify.com/v1/audio-analysis/2d1MywHy6FwKdzxFuSJnwl,244005,4
33,Migraine,Twenty One Pilots,2013-01-08,False,spotify:track:4rfaoyaZvNa60cj3OKSQV9,71,11142035356,0.69,0.678,0,-6.52,1,0.154,0.11,0.0,0.246,0.409,173.995,audio_features,4rfaoyaZvNa60cj3OKSQV9,https://api.spotify.com/v1/tracks/4rfaoyaZvNa60cj3OKSQV9,https://api.spotify.com/v1/audio-analysis/4rfaoyaZvNa60cj3OKSQV9,239015,4
34,The Worst,Polyphia,2017-07-14,False,spotify:track:5l3WNlq4rag0fFP0TI9qeJ,56,11142035356,0.656,0.696,4,-5.935,0,0.0438,0.118,0.45,0.161,0.4,124.922,audio_features,5l3WNlq4rag0fFP0TI9qeJ,https://api.spotify.com/v1/tracks/5l3WNlq4rag0fFP0TI9qeJ,https://api.spotify.com/v1/audio-analysis/5l3WNlq4rag0fFP0TI9qeJ,245779,4
35,Overnight,Parcels,2017-06-21,False,spotify:track:1kgws2l8gsvDhtsVyzWbu9,0,11142035356,0.81,0.818,8,-9.599,0,0.0511,0.343,0.0548,0.113,0.887,119.982,audio_features,1kgws2l8gsvDhtsVyzWbu9,https://api.spotify.com/v1/tracks/1kgws2l8gsvDhtsVyzWbu9,https://api.spotify.com/v1/audio-analysis/1kgws2l8gsvDhtsVyzWbu9,219603,4
36,Gemini,Thank You Scientist,2011-01-07,False,spotify:track:2LQjDAhUMqIWsje7Gk7suZ,28,11142035356,0.528,0.866,10,-6.454,1,0.0692,0.0627,0.0288,0.176,0.676,161.946,audio_features,2LQjDAhUMqIWsje7Gk7suZ,https://api.spotify.com/v1/tracks/2LQjDAhUMqIWsje7Gk7suZ,https://api.spotify.com/v1/audio-analysis/2LQjDAhUMqIWsje7Gk7suZ,434500,4
37,Super Duper Love,Joss Stone,2003-01-01,False,spotify:track:30yn7KuCLbXGCXxjsB0C8K,67,11142035356,0.69,0.767,11,-3.411,0,0.14,0.0207,0.0,0.131,0.668,187.993,audio_features,30yn7KuCLbXGCXxjsB0C8K,https://api.spotify.com/v1/tracks/30yn7KuCLbXGCXxjsB0C8K,https://api.spotify.com/v1/audio-analysis/30yn7KuCLbXGCXxjsB0C8K,260013,4
38,Not For Want Of Trying,Maybeshewill,2008,False,spotify:track:3q6h93qVhlvIycGOBYmAxO,44,11142035356,0.221,0.662,9,-3.306,1,0.0439,0.00507,0.478,0.0745,0.257,199.719,audio_features,3q6h93qVhlvIycGOBYmAxO,https://api.spotify.com/v1/tracks/3q6h93qVhlvIycGOBYmAxO,https://api.spotify.com/v1/audio-analysis/3q6h93qVhlvIycGOBYmAxO,333973,4
39,Two Shoes,The Cat Empire,2005-08-29,False,spotify:track:57LP4yVIIBkRLWbq0ETF4K,55,11142035356,0.672,0.603,2,-7.777,0,0.0333,0.249,0.00277,0.127,0.655,113.194,audio_features,57LP4yVIIBkRLWbq0ETF4K,https://api.spotify.com/v1/tracks/57LP4yVIIBkRLWbq0ETF4K,https://api.spotify.com/v1/audio-analysis/57LP4yVIIBkRLWbq0ETF4K,313053,4
40,Chaos,Mutemath,2019-12-20,False,spotify:track:7oSS6aLPNVj1cnE9sc8FmI,19,11142035356,0.368,0.958,1,-4.463,0,0.117,0.000159,0.000718,0.339,0.541,180.083,audio_features,7oSS6aLPNVj1cnE9sc8FmI,https://api.spotify.com/v1/tracks/7oSS6aLPNVj1cnE9sc8FmI,https://api.spotify.com/v1/audio-analysis/7oSS6aLPNVj1cnE9sc8FmI,294973,4
41,Colors,Black Pumas,2019-06-21,False,spotify:track:6J3HNhDBIwEX11bX8hzx5u,69,11142035356,0.546,0.696,4,-6.537,1,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,audio_features,6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/tracks/6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/audio-analysis/6J3HNhDBIwEX11bX8hzx5u,246587,4
42,Misery Business,Paramore,2007-06-11,False,spotify:track:6SpLc7EXZIPpy0sVko0aoU,80,11142035356,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,audio_features,6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520,4
43,Fallen Leaves,Billy Talent,2006-06-23,False,spotify:track:3jUTjCISntIUFL8jnAjzgc,70,11142035356,0.71,0.811,3,-4.079,1,0.0431,0.00105,2.08e-06,0.0677,0.914,123.048,audio_features,3jUTjCISntIUFL8jnAjzgc,https://api.spotify.com/v1/tracks/3jUTjCISntIUFL8jnAjzgc,https://api.spotify.com/v1/audio-analysis/3jUTjCISntIUFL8jnAjzgc,199200,4
44,New Perspective,Panic! At The Disco,2009-07-28,False,spotify:track:1AT5viFqaGU9Hu5smdNlgB,59,11142035356,0.367,0.881,7,-4.752,1,0.127,0.00313,0.0,0.185,0.514,164.028,audio_features,1AT5viFqaGU9Hu5smdNlgB,https://api.spotify.com/v1/tracks/1AT5viFqaGU9Hu5smdNlgB,https://api.spotify.com/v1/audio-analysis/1AT5viFqaGU9Hu5smdNlgB,226787,4
45,Unstoppable - Stripped,The Score,2017-10-13,False,spotify:track:1IPCp2nxIIcFVuJuJpIq3w,42,11142035356,0.676,0.444,6,-7.527,0,0.0358,0.0261,1.09e-05,0.0761,0.389,78.012,audio_features,1IPCp2nxIIcFVuJuJpIq3w,https://api.spotify.com/v1/tracks/1IPCp2nxIIcFVuJuJpIq3w,https://api.spotify.com/v1/audio-analysis/1IPCp2nxIIcFVuJuJpIq3w,197560,4
46,Guillotine,Jon Bellion,2016-06-10,False,spotify:track:2p2aCtErYX6UaFxyfpVvWC,58,11142035356,0.574,0.803,4,-3.17,0,0.186,0.102,4.15e-06,0.0861,0.647,97.967,audio_features,2p2aCtErYX6UaFxyfpVvWC,https://api.spotify.com/v1/tracks/2p2aCtErYX6UaFxyfpVvWC,https://api.spotify.com/v1/audio-analysis/2p2aCtErYX6UaFxyfpVvWC,208125,4
47,Break My Baby,KALEO,2020-04-17,False,spotify:track:3jxhrvttYoLm3BPfL37gcI,39,11142035356,0.529,0.755,10,-3.917,0,0.0383,0.106,0.000607,0.157,0.383,73.998,audio_features,3jxhrvttYoLm3BPfL37gcI,https://api.spotify.com/v1/tracks/3jxhrvttYoLm3BPfL37gcI,https://api.spotify.com/v1/audio-analysis/3jxhrvttYoLm3BPfL37gcI,265558,4
48,A Little Piece of Heaven,Avenged Sevenfold,2007-10-26,True,spotify:track:1BLfQ6dPXmuDrFmbdfW7Jl,71,11142035356,0.486,0.881,2,-5.623,0,0.0474,0.0244,0.0,0.429,0.667,144.997,audio_features,1BLfQ6dPXmuDrFmbdfW7Jl,https://api.spotify.com/v1/tracks/1BLfQ6dPXmuDrFmbdfW7Jl,https://api.spotify.com/v1/audio-analysis/1BLfQ6dPXmuDrFmbdfW7Jl,480707,4
49,Renegades,X Ambassadors,2015-06-30,False,spotify:track:46GGxd8TVRt6FjUBfCavVT,0,11142035356,0.514,0.858,2,-5.995,1,0.0896,0.0127,0.0528,0.251,0.6,89.833,audio_features,46GGxd8TVRt6FjUBfCavVT,https://api.spotify.com/v1/tracks/46GGxd8TVRt6FjUBfCavVT,https://api.spotify.com/v1/audio-analysis/46GGxd8TVRt6FjUBfCavVT,195199,4
50,Down South,Jeremy Loops,2016-02-26,False,spotify:track:56kZQdPc8OUBytyxqCwhXG,0,11142035356,0.559,0.779,1,-5.525,1,0.0588,0.0835,0.0,0.191,0.677,84.862,audio_features,56kZQdPc8OUBytyxqCwhXG,https://api.spotify.com/v1/tracks/56kZQdPc8OUBytyxqCwhXG,https://api.spotify.com/v1/audio-analysis/56kZQdPc8OUBytyxqCwhXG,241107,4
51,Holding on to You,Twenty One Pilots,2013-01-08,False,spotify:track:3C3cr2JQwXIhqAHqOardVO,70,11142035356,0.608,0.776,11,-3.635,1,0.0511,0.241,0.0,0.0713,0.814,89.996,audio_features,3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/tracks/3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/audio-analysis/3C3cr2JQwXIhqAHqOardVO,263733,4
52,Heavydirtysoul,Twenty One Pilots,2015-05-15,False,spotify:track:7i9763l5SSfOnqZ35VOcfy,74,11142035356,0.613,0.873,7,-6.376,0,0.0449,0.00397,0.00111,0.367,0.392,129.989,audio_features,7i9763l5SSfOnqZ35VOcfy,https://api.spotify.com/v1/tracks/7i9763l5SSfOnqZ35VOcfy,https://api.spotify.com/v1/audio-analysis/7i9763l5SSfOnqZ35VOcfy,234813,4
53,Car Radio,Twenty One Pilots,2013-01-08,False,spotify:track:5cbpoIu3YjoOwbBDGUEp3P,75,11142035356,0.766,0.519,9,-7.355,0,0.0366,0.098,0.0,0.0855,0.612,129.972,audio_features,5cbpoIu3YjoOwbBDGUEp3P,https://api.spotify.com/v1/tracks/5cbpoIu3YjoOwbBDGUEp3P,https://api.spotify.com/v1/audio-analysis/5cbpoIu3YjoOwbBDGUEp3P,267720,4
54,Ain't Gonna Die Tonight (feat. Eric Nally),Macklemore,2017-09-22,True,spotify:track:1FgmP7AOTcn7MGYmImj0kn,58,11142035356,0.687,0.768,7,-5.579,0,0.14,0.232,0.0,0.118,0.865,81.977,audio_features,1FgmP7AOTcn7MGYmImj0kn,https://api.spotify.com/v1/tracks/1FgmP7AOTcn7MGYmImj0kn,https://api.spotify.com/v1/audio-analysis/1FgmP7AOTcn7MGYmImj0kn,214720,4
55,Put Me Thru,Anderson .Paak,2016-01-15,True,spotify:track:06espoEuN2Ny4UqCYAVOCY,52,11142035356,0.732,0.789,5,-3.717,0,0.0476,0.0459,3.11e-05,0.123,0.607,107.978,audio_features,06espoEuN2Ny4UqCYAVOCY,https://api.spotify.com/v1/tracks/06espoEuN2Ny4UqCYAVOCY,https://api.spotify.com/v1/audio-analysis/06espoEuN2Ny4UqCYAVOCY,160760,4
56,Run Run Run (Scatter) [Chill Bump Remix],Chinese Man,2015-03-30,False,spotify:track:1KazLsuKv1c2BFdzEObFI1,54,11142035356,0.6,0.581,10,-8.074,0,0.513,0.169,4.36e-06,0.276,0.532,89.942,audio_features,1KazLsuKv1c2BFdzEObFI1,https://api.spotify.com/v1/tracks/1KazLsuKv1c2BFdzEObFI1,https://api.spotify.com/v1/audio-analysis/1KazLsuKv1c2BFdzEObFI1,220821,4
57,The Bare Necessities,Geoff Castellucci,2020-07-12,False,spotify:track:6nNK9dfBneZBnkJOvtlP8w,45,11142035356,0.449,0.466,0,-10.639,1,0.054,0.826,0.000329,0.109,0.574,200.673,audio_features,6nNK9dfBneZBnkJOvtlP8w,https://api.spotify.com/v1/tracks/6nNK9dfBneZBnkJOvtlP8w,https://api.spotify.com/v1/audio-analysis/6nNK9dfBneZBnkJOvtlP8w,197159,4
58,Autumn (L'Automno) Op.8 No.3 Major: Allegro,Baroque Festival Orchestra,1994-07-01,False,spotify:track:7d20u6lKFtjLVNW9nhJAsL,46,1164872058,0.532,0.028,5,-23.778,1,0.0549,0.947,0.621,0.121,0.221,103.69,audio_features,7d20u6lKFtjLVNW9nhJAsL,https://api.spotify.com/v1/tracks/7d20u6lKFtjLVNW9nhJAsL,https://api.spotify.com/v1/audio-analysis/7d20u6lKFtjLVNW9nhJAsL,306933,4
